Animal_ID,Animal_type,Stroke size,Type,live_cells_0,CD19pos_B220pos_0,CD19pos_B220pos_MHCIIpos_0,CD11cpos_0,CD11bpos_0,mMDSCs_0,gMDSCs_0,,live_cells_7,CD19pos_B220pos_7,CD19pos_B220pos_MHCIIpos_7,CD11cpos_7,CD11bpos_7,mMDSCs_7,gMDSCs_7,,live_cells_28,CD19pos_B220pos_28,CD19pos_B220pos_MHCIIpos_28,CD11cpos_28,CD11bpos_28,mMDSCs_28,gMDSCs_28
Pound f1 5 223121,WT_female,,Number,72562,17550,13660,1179,41577,9441,30585,,,,,,,,,,,,,,,,
Pound f2 4 211148,Pound_female,,Number,144450,25661,18879,2101,94551,22924,67859,,,,,,,,,,,,,,,,
Pound f3 5 211525,WT_female,,Number,139852,37658,28014,2276,86069,18133,65052,,,,,,,,,,,,,,,,
Pound f4 6 211853,Pound_female,,Number,102173,15348,11651,1871,71596,16667,52204,,,,,,,,,,,,,,,,
Pound f5 7 212233,WT_female,,Number,88898,14356,11509,1517,63610,14967,46418,,,,,,,,,,,,,,,,
Pound f6 8 212602,WT_female,,Number,119426,18726,13965,2323,89669,17357,69769,,,,,,,,,,,,,,,,
Pound f7 9 212940,WT_female,,Number,172943,42993,31950,2765,106252,25657,77120,,,,,,,,,,,,,,,,
Pound f8 10 213334,Pound_female,,Number,99657,22712,17424,1774,62576,15801,44425,,,,,,,,,,,,,,,,
Pound f9 11 213716,Pound_female,,Number,104464,21833,17216,1795,67846,18241,46945,,,,,,,,,,,,,,,,
Pouynd m1 12 214044,WT_male,,Number,118274,30928,23501,1638,75418,16006,57371,,,,,,,,,,,,,,,,
Pound m2 13 214422,WT_male,,Number,111801,28896,21393,1627,70025,14639,53444,,,,,,,,,,,,,,,,
Pound m3 14 214751,WT_male,,Number,48049,12293,9515,770,30452,6038,23516,,,,,,,,,,,,,,,,
Pound m4 15 215130,Pound_male,,Number,18527,3496,2653,323,12117,2887,8814,,,,,,,,,,,,,,,,
Pound m5 16 215459,Pound_male,,Number,100261,12374,9210,1386,75555,18683,54351,,,,,,,, ,,,,,,,,
Pound m6 17 215838,WT_male,,Number,82254,21212,17387,1236,53181,10656,41125,,,,,,,,,,,,,,,,
Pound m7 6 223449,Pound_male,,Number,80105,14859,11334,1382,50902,12816,36298,,,,,,,,,,,,,,,,
Pound m8 19 220220,Pound_male,,Number,111030,21413,16785,1741,73466,16293,54900,,,,,,,,,,,,,,,,
Pound m9 20 220600,Pound_male,,Number,109344,17220,13401,1773,77134,18736,55886,,,,,,,,,,,,,,,,
PLT2 f1 21 220930,PLT2_female,,Number,120335,26015,18361,1950,79178,17011,59576,,,,,,,,,,,,,,,,
PLT2 f2 7 223829,PLT2_female,,Number,117632,22675,16247,1958,75983,14747,58365,,,,,,,,,,,,,,,,
PLT2 f3 23 221319,PLT2_female,,Number,80950,17422,12743,1309,54981,11916,41505,,,,,,,,,,,,,,,,
PLT2 f4 8 224115,PLT2_female,,Number,102202,18328,14211,1838,67454,16691,48012,,,,,,,,,,,,,,,,
PLT2 f5 9 224459,PLT2_female,,Number,22152,5024,4151,396,13661,2880,10218,,,,,,,,,,,,,,,,
PLT2 m1 26 221715,PLT2_male,,Number,109708,23422,18051,1512,70638,14392,54255,,,,,,,,,,,,,,,,
PLT2 m2 10 224828,PLT2_male,,Number,118986,20375,15108,1768,84084,17558,63860,,,,,,,,,,,,,,,,
PLT2 m3 28 222109,PLT2_male,,Number,119220,28107,20370,1860,75965,14585,59136,,,,,,,,,,,,,,,,
PLT2 m4 11 225111,PLT2_male,,Number,119331,24188,16371,1780,80647,17540,60452,,,,,,,,,,,,,,,,
PLT2 m5 30 222450,PLT2_male,,Number,89759,16497,12403,1408,62599,12060,48773,,,,,,,,,,,,,,,,
Pound f1 5 223121,WT_female,,%gated,98.4,24.2,77.8,2.6,91.2,22.7,73.6,,,,,,,,,,,,,,,,
Pound f2 4 211148,Pound_female,,%gated,98.7,26.9,74.4,2.5,94.8,21.1,75.6,,,,,,,,,,,,,,,,
Pound f3 5 211525,WT_female,,%gated,98.4,16.1,80.2,2.3,95.4,23.5,73,,,,,,,,,,,,,,,,
Pound f4 6 211853,Pound_female,,%gated,98.5,15.7,74.6,2.5,96.4,19.4,77.8,,,,,,,,,,,,,,,,
Pound f5 7 212233,WT_female,,%gated,98.3,24.9,74.3,2.4,92.9,24.1,72.6,,,,,,,,,,,,,,,,
Pound f6 8 212602,WT_female,,%gated,97.5,15,75.9,2.4,92.4,23.3,72.9,,,,,,,,,,,,,,,,
Pound f7 9 212940,WT_female,,%gated,97.9,17.8,73.6,2,91.2,24.2,71.8,,,,,,,,,,,,,,,,
Pound f8 10 213334,Pound_female,,%gated,98,22.8,76.7,2.6,92.5,25.3,71,,,,,,,,,,,,,,,,
Pound f9 11 213716,Pound_female,,%gated,97.9,20.9,78.9,2.5,93.2,26.9,69.2,,,,,,,,,,,,,,,,
Pouynd m1 12 214044,WT_male,,%gated,98.6,26.1,76,2.1,95.1,21.2,76.1,,,,,,,,,,,,,,,,
Pound m2 13 214422,WT_male,,%gated,98.5,25.8,74,2.2,94.8,20.9,76.3,,,,,,,,,,,,,,,,
Pound m3 14 214751,WT_male,,%gated,98.2,25.6,77.4,2.4,95.5,19.8,77.2,,,,,,,,,,,,,,,,
Pound m4 15 215130,Pound_male,,%gated,98.7,25.8,82,2.2,95.9,20,77.3,,,,,,,,,,,,,,,,
Pound m5 16 215459,Pound_male,,%gated,97.2,12.3,74.4,1.7,94.9,24.7,71.9,,,,,,,,,,,,,,,,
Pound m6 17 215838,WT_male,,%gated,97.2,18.9,75.9,2.4,90.9,23.8,72.7,,,,,,,,,,,,,,,,
Pound m7 6 223449,Pound_male,,%gated,97.3,18.5,76.3,2.4,90.2,25.2,71.3,,,,,,,,,,,,,,,,
Pound m8 19 220220,Pound_male,,%gated,98.2,19.3,78.4,2.2,91.9,22.2,74.7,,,,,,,,,,,,,,,,
Pound m9 20 220600,Pound_male,,%gated,97.9,15.7,77.8,2.1,93.1,24.3,72.5,,,,,,,,,,,,,,,,
PLT2 f1 21 220930,PLT2_female,,%gated,98,21.6,70.6,2.3,94.4,21.5,75.2,,,,,,,,,,,,,,,,
PLT2 f2 7 223829,PLT2_female,,%gated,98.4,19.3,71.7,2.4,91.4,19.4,76.8,,,,,,,,,,,,,,,,
PLT2 f3 23 221319,PLT2_female,,%gated,98.3,21.5,73.1,2.3,95.7,21.7,75.5,,,,,,,,,,,,,,,,
PLT2 f4 8 224115,PLT2_female,,%gated,97.9,17.9,77.5,2.5,91.5,24.7,71.2,,,,,,,,,,,,,,,,
PLT2 f5 9 224459,PLT2_female,,%gated,97.3,22.7,82.6,2.7,91.6,21.1,74.8,,,,,,,,,,,,,,,,
PLT2 m1 26 221715,PLT2_male,,%gated,98.4,21.3,77.1,1.9,89.6,20.4,76.8,,,,,,,,,,,,,,,,
PLT2 m2 10 224828,PLT2_male,,%gated,98.2,17.1,74.1,2,93.3,20.9,75.9,,,,,,,,,,,,,,,,
PLT2 m3 28 222109,PLT2_male,,%gated,98.4,23.6,72.5,2.3,92.5,19.2,77.8,,,,,,,,,,,,,,,,
PLT2 m4 11 225111,PLT2_male,,%gated,98.2,20.3,67.7,2.1,93.1,21.7,75,,,,,,,,,,,,,,,,
PLT2 m5 30 222450,PLT2_male,,%gated,98.3,18.4,75.2,2.1,93.2,19.3,77.9,,,,,,,,,,,,,,,,
3-Pound m1 fat (2)62937,Pound_male,1.92312,Number,,,,,,,,,189561,5003,4806,2100,163022,43560,113044,,,,,,,,
4-Pound m2 fat (2)63412,Pound_male,2.83752,Number,,,,,,,,,177167,5431,5218,2399,141721,30683,103112,,,,,,,,
5-Pound m3 fat (2)63848,Pound_male,3.26412,Number,,,,,,,,,155177,7041,6816,1759,130638,27138,99388,,,,,,,,
6-Pound m4 WT (2)64323,WT_male,1.98666,Number,,,,,,,,,202979,22862,20483,4132,147552,31641,110339,,,,,,,,
7-Pound f1 fat (3)64759,Pound_female,2.03004,Number,,,,,,,,,116018,3455,3220,1080,99168,21840,73118,,,,,,,,
9-Pound f3 WT (4)65640,WT_female,3.25494,Number,,,,,,,,,203189,5725,5359,2268,174620,37042,132209,,,,,,,,
1-Pound f4 WT (4)80906,WT_female,3.37554,Number,,,,,,,,,117140,982,847,1379,102969,20321,79033,,,,,,,,
11-Pound f5 WT (4)70130,WT_female,5.95602,Number,,,,,,,,,222738,17931,14155,4224,160818,36388,119463,,,,,,,,
12-Pound f6 WT (4)70619,WT_female,3.8682,Number,,,,,,,,,158049,6894,6349,2748,126797,25153,98129,,,,,,,,
13-Pound f7 WT (5)71056,WT_female,4.7826,Number,,,,,,,,,178215,10819,9212,3190,140088,27433,107949,,,,,,,,
15-Pound f9 WT (5)72006,WT_female,6.99426,Number,,,,,,,,,196860,2605,1932,3633,161878,34927,121667,,,,,,,,
3-Pound m1 fat (1)71612,Pound_male,2.04084,Number,,,,,,,,,197258,11312,11222,10823,169433,24062,141759,,,,,,,,
7-Pound m2 fat (1)80722,Pound_male,2.0421,Number,,,,,,,,,153518,11661,11596,7798,121877,18847,98978,,,,,,,,
5-PLT2 f1 (6)72104,PLT2_female,4.64724,Number,,,,,,,,,229289,25771,23779,21163,163587,35093,122256,,,,,,,,
6-PLT2 f2(6)72538,PLT2_female,6.6582,Number,,,,,,,,,217048,15158,14753,19289,172521,32732,133477,,,,,,,,
7-PLT2 f3 (6)73015,PLT2_female,5.63958,Number,,,,,,,,,174435,20493,18808,14766,128190,25313,98150,,,,,,,,
8-PLT2 f4 (7)73449,PLT2_female,3.72852,Number,,,,,,,,,247281,25369,23117,22207,172987,34133,132459,,,,,,,,
9-PLT2 f5 (7)73909,PLT2_female,7.15806,Number,,,,,,,,,255179,29523,26334,17634,176027,34144,135028,,,,,,,,
10-PLT2 f6 (7)74345,PLT2_female,4.87674,Number,,,,,,,,,236244,25898,23905,18244,166414,35216,124426,,,,,,,,
7-PLT2 m3 (8)80234,PLT2_male,5.98266,Number,,,,,,,,,198976,15510,14868,25216,160102,30725,124552,,,,,,,,
PLT2 m1-11,PLT2_male,4.23864,Number,,,,,,,,,225567,9231,8215,2033,173387,28928,129853,,,,,,,,
PLT2 m2-12,PLT2_male,3.32694,Number,,,,,,,,,370465,11951,10761,2921,287699,47404,216592,,,,,,,,
PLT2 m3-13,PLT2_male,5.65362,Number,,,,,,,,,239112,11455,10447,2622,172024,29854,126238,,,,,,,,
PLT2 m4-3,PLT2_male,2.9601,Number,,,,,,,,,411448,17032,16655,4429,336064,54682,252757,,,,,,,,
PLT2 m6-5,PLT2_male,3.501,Number,,,,,,,,,200096,11406,11149,2080,159186,25804,116198,,,,,,,,
PLT2 f1-14,PLT2_female,4.14864,Number,,,,,,,,,183053,6041,5336,1773,132758,18509,98815,,,,,,,,
PLT2 f2-15,PLT2_female,3.27042,Number,,,,,,,,,283748,12895,11223,2518,211311,29771,165461,,,,,,,,
PLT2 f3-16,PLT2_female,2.95362,Number,,,,,,,,,189535,9240,7877,1683,120612,15317,94940,,,,,,,,
PLT2 f4-17,PLT2_female,4.99554,Number,,,,,,,,,401169,22625,19067,3731,273601,38537,211998,,,,,,,,
