Animal_ID,Animal_type,Stroke size,Type,live_cells_0,live_cells_3,live_cells_10,live_cells_17,live_cells_24,CD3pos_0,CD3pos_3,CD3pos_10,CD3pos_17,CD3pos_24,CD8pos_0,CD8pos_3,CD8pos_10,CD8pos_17,CD8pos_24,CD4pos_0,CD4pos_3,CD4pos_10,CD4pos_17,CD4pos_24,,
T PLT2 male1 (1),PLT2_male,0.4896,Number,41522,23037,47168,70524,17751,9212,5942,9718,14770,4791,4345,2879,4272,5997,2271,3675,2474,4487,7630,2068,,
T PLT2 male 2 (2),PLT2_male,1.71576,Number,14462,44278,72296,83885,44272,4157,11201,15789,19398,9762,1935,5468,7306,9670,4710,1624,4983,7324,8267,4192,,
T PLT2 male3 (3),PLT2_male,2.84736,Number,37806,35295,75079,62894,51585,11228,9289,15382,18331,15469,5710,4747,6912,9152,7755,4401,3754,7207,8048,6274,,
T PLT2 male4 (4),PLT2_male,5.78448,Number,27600,39754,41913,58727,52076,8052,11611,12304,17911,18047,3552,5150,5294,7992,7980,3808,5604,6345,8783,8551,,
T PLT2 male5 (11),PLT2_male,4.97544,Number,18064,16880,,,,6133,3719,,,,2180,1266,,,,3521,2122,,,,,the fields in blue -> % of live cells and % gated (they are both gated off CD3+ cells
T Pound male2 WT (6),WT_male,2.84544,Number,16019,68,8805,50829,70717,4567,29,3022,18839,26299,1634,0,1140,7065,10227,2642,0,1734,10894,14843,,
T pound male4 WT  (8),WT_male,5.02944,Number,11343,15452,33962,39603,18614,2001,3003,4061,5182,2769,693,1249,1518,2261,1129,1037,1406,2116,2306,1261,,
T pound male3 fat (7),Pound_male,1.80672,Number,39027,46688,29989,63514,53140,7405,8542,6613,12879,8367,3058,4271,3145,6312,4090,3343,3678,3077,5610,3287,,
T pound male5 fat (9),Pound_male,3.12936,Number,27353,108008,64951,81189,32590,7726,31447,13247,13703,7364,3272,14932,5741,5996,3193,3861,14842,6971,6683,3581,,
T Pound male6 fat (10),Pound_male,died,Number,21580,,,,,5042,,,,,2133,,,,,2326,,,,,,
T PLT2 female2 (13),PLT2_female,7.23624,Number,16829,33388,12131,40265,30358,4994,8202,3336,11705,8545,2320,4047,1668,6146,4285,1997,3247,1317,4620,3568,,
T Pound female1 fat (14),Pound_female,2.64768,Number,32249,46792,60117,48966,17020,8761,14398,13990,8846,3193,3191,6054,5813,3486,1280,4893,7561,7295,4699,1650,,
T POund female2 fat (15),Pound_female,1.7988,Number,25500,92349,94985,45603,35931,6117,18588,22171,4359,3088,2161,8233,10017,1538,1090,3347,8846,10616,2291,1638,,
T Pound female 3 fat (16),Pound_female,died,Number,7554,22340,,,,2444,1385,,,,722,648,,,,1484,438,,,,,
PLT2 male 1 (1),PLT2_male,5.29656,Number,33263,29812,,,,8843,8265,,,,3310,3103,,,,4268,3721,,,,,
PLT2 male 2 (2),PLT2_male,3.2772,Number,48864,48621,,,,14838,15019,,,,5408,5527,,,,7946,7927,,,,,
PLT2 male4 (9),PLT2_male,2.62536,Number,30147,30028,21828,36603,39338,11667,11923,7429,9423,9667,4022,4056,2666,4247,3198,6658,6623,4450,4523,4799,,
PLT2 male 5 (10),PLT2_male,2.84256,Number,20934,20843,4319,,,4003,4129,487,,,1457,1492,168,,,1870,1869,271,,,,
Pound male fat1 (4),Pound_male,2.41368,Number,6053,6054,59692,31980,,1654,1663,10430,2893,,451,471,4934,1600,,1003,1001,4651,1053,,,
Pound male fat2 (5),Pound_male,2.2128,Number,37162,36986,21546,54254,,7121,7349,1266,8507,,2274,2438,526,3850,,3956,3958,620,3792,,,
Pound male fat3 (6),Pound_male,died,Number,10242,10332,36972,,,1731,2699,6207,,,454,696,3026,,,984,1013,2869,,,,
Pound male fat4 (7),Pound_male,1.14432,Number,15296,15305,,,,2449,2542,,,,721,759,,,,1250,1256,,,,,
Pound male WT1 (3),WT_male,6.20208,Number,28766,28770,,14355,,7862,7993,,2928,,2543,2609,,1528,,4143,4129,,1158,,,
Pound male WT2 (11),WT_male,died,Number,36833,36816,,,,5962,6077,,,,2251,2309,,,,2494,2500,,,,,
Pound female fat1 (12),Pound_female,3.60168,Number,26095,26120,14564,18432,23474,6142,6278,836,1405,4080,1957,1956,369,703,1165,3213,3210,358,546,1184,,
Pound female fat2 (13),Pound_female,0.50736,Number,29993,29917,32031,22244,52629,4695,4861,6345,3620,10899,1620,1682,3132,1693,3209,2300,2309,2956,1534,3845,,
Pound female fat3 (15),Pound_female,died,Number,12651,12972,,,,2503,2604,,,,719,778,,,,1253,1288,,,,,
Pound female WT1 (14),WT_female,7.48848,Number,16617,16765,,,,5166,5249,,,,1548,1537,,,,2984,3002,,,,,
Pound female WT2 (16),WT_female,4.01784,Number,,44535,,,,,10145,,,,,3476,,,,,5193,,,,,
