mouse,type,stroke_size
M PLT2 male 1 (1)-3,PLT2_male,0.4896
M PLT2 male 2 (2)-4,PLT2_male,1.71576
M PLT2 male 3 (3)-5,PLT2_male,2.84736
M PLT2 male 4 (4)-6,PLT2_male,5.78448
M PLT2 male 5 (11)-7,PLT2_male,4.97544
M Pound male2 WT (6)-9,WT_male,2.84544
M Pound male4 WT (8)-15,WT_male,5.02944
M Pound male 3 fat (7)-10,Pound_male,1.80672
M pound male5 fat (9),Pound_male,3.12936
M PLT2 female2 (13)-19,PLT2_female,7.23624
M Pound female1 fat (14)-20,Pound_female,2.64768
M Pound female2 fat (15)-21,Pound_female,1.7988
PLT2 male 1 (1)-6-2016-09-07,PLT2_male,5.29656
PLT2 male 2 (2)-7-2016-09-07,PLT2_male,3.2772
PLT2 male4 (9)-9-2016-09-07,PLT2_male,2.62536
PLT2 male 5 (10),PLT2_male,2.84256
Pound male fat1 (4)-11-2016-09-07,Pound_male,2.41368
Pound male fat2 (5)-12-2016-09-07,Pound_male,2.2128
Pound male fat4 (7)-14-2016-09-07,Pound_male,1.14432
Pound male WT1 (3)-15-2016-09-07,WT_male,6.20208
Pound female fat1 (12)-17-2016-09-07,Pound_female,3.60168
Pound female fat2 (13)-18-2016-09-07,Pound_female,0.50736
Pound female WT1 (14)-20-2016-09-07,WT_female,7.48848
Pound female WT2 (16)-21-2016-09-07,WT_female,4.01784
met 1#2 female WT,WT_female,4.2132
met 1#4 female fat (small stroke 0.8),Pound_female,0.8148
met 2#1 female fat,Pound_female,1.95984
met 4#1 PLT2,PLT2_female,5.47224
met 4#2 PLT2,PLT2_female,6.48552
met 4#3 PLT2,PLT2_female,4.7004
met 2#2 female fat,Pound_female,1.60992
met 2#3 female WT,WT_female,1.12632
met 2#4 female WT,WT_female,2.09472
met 4#4 PLT2,PLT2_female,3.74064
3-Pound m1 fat (2)62937,Pound_male,1.92312
4-Pound m2 fat (2)63412,Pound_male,2.83752
5-Pound m3 fat (2)63848,Pound_male,3.26412
6-Pound m4 WT (2)64323,WT_male,1.98666
7-Pound f1 fat (3)64759,Pound_female,2.03004
9-Pound f3 WT (4)65640,WT_female,3.25494
1-Pound f4 WT (4)80906,WT_female,3.37554
11-Pound f5 WT (4)70130,WT_female,5.95602
12-Pound f6 WT (4)70619,WT_female,3.8682
13-Pound f7 WT (5)71056,WT_female,4.7826
15-Pound f9 WT (5)72006,WT_female,6.99426
3-Pound m1 fat (1)71612,Pound_male,2.04084
