"","X","mouse_long","female_long","type_long","per_long","N_long","R_long","stroke_size_long"
"1",1,1,FALSE,"PLT","PERIOD1",40434,13405,0.4896
"2",2,1,FALSE,"PLT","PERIOD2",39944,14466,0.4896
"3",3,1,FALSE,"PLT","PERIOD3",63947,22648,0.4896
"4",4,1,FALSE,"PLT","PERIOD4",68036,23220,0.4896
"5",5,1,FALSE,"PLT","PERIOD5",28999,9036,0.4896
"6",6,2,FALSE,"PLT","PERIOD1",10690,3141,1.71576
"7",7,2,FALSE,"PLT","PERIOD2",64329,21230,1.71576
"8",8,2,FALSE,"PLT","PERIOD3",60872,20805,1.71576
"9",9,2,FALSE,"PLT","PERIOD4",88043,25057,1.71576
"10",10,2,FALSE,"PLT","PERIOD5",52511,14643,1.71576
"11",11,3,FALSE,"PLT","PERIOD1",50253,19194,2.84736
"12",12,3,FALSE,"PLT","PERIOD2",81525,32249,2.84736
"13",13,3,FALSE,"PLT","PERIOD3",95537,39796,2.84736
"14",14,3,FALSE,"PLT","PERIOD4",107267,36920,2.84736
"15",15,3,FALSE,"PLT","PERIOD5",65220,20107,2.84736
"16",16,4,FALSE,"PLT","PERIOD1",62764,14987,5.78448
"17",17,4,FALSE,"PLT","PERIOD2",54437,16349,5.78448
"18",18,4,FALSE,"PLT","PERIOD3",77330,25968,5.78448
"19",19,4,FALSE,"PLT","PERIOD4",81688,23345,5.78448
"20",20,4,FALSE,"PLT","PERIOD5",56794,17857,5.78448
"21",21,5,FALSE,"PLT","PERIOD1",28944,7386,4.97544
"22",22,5,FALSE,"PLT","PERIOD2",2776,500,4.97544
"23",23,6,FALSE,"aWT","PERIOD1",31226,5544,2.84544
"24",24,6,FALSE,"aWT","PERIOD2",25499,5266,2.84544
"25",25,6,FALSE,"aWT","PERIOD3",38838,9335,2.84544
"26",26,6,FALSE,"aWT","PERIOD4",54238,12000,2.84544
"27",27,6,FALSE,"aWT","PERIOD5",9446,2859,2.84544
"28",28,7,FALSE,"aWT","PERIOD1",12652,3339,5.02944
"29",29,7,FALSE,"aWT","PERIOD2",21705,4567,5.02944
"30",30,7,FALSE,"aWT","PERIOD3",30184,6381,5.02944
"31",31,7,FALSE,"aWT","PERIOD4",33829,4520,5.02944
"32",32,7,FALSE,"aWT","PERIOD5",28976,6031,5.02944
"33",33,8,FALSE,"Pound","PERIOD1",49249,7060,1.80672
"34",34,8,FALSE,"Pound","PERIOD2",5286,1170,1.80672
"35",35,8,FALSE,"Pound","PERIOD3",32709,8368,1.80672
"36",36,8,FALSE,"Pound","PERIOD4",81245,10705,1.80672
"37",37,8,FALSE,"Pound","PERIOD5",61988,8173,1.80672
"38",38,9,FALSE,"Pound","PERIOD2",117104,28946,3.12936
"39",39,9,FALSE,"Pound","PERIOD3",68686,5588,3.12936
"40",40,9,FALSE,"Pound","PERIOD4",72263,4920,3.12936
"41",41,9,FALSE,"Pound","PERIOD5",53768,7492,3.12936
"42",42,10,FALSE,"Pound","PERIOD1",10581,1802,NA
"43",43,11,TRUE,"PLT","PERIOD1",4480,966,7.23624
"44",44,11,TRUE,"PLT","PERIOD2",30874,5736,7.23624
"45",45,11,TRUE,"PLT","PERIOD3",45504,10377,7.23624
"46",46,11,TRUE,"PLT","PERIOD4",45341,10658,7.23624
"47",47,11,TRUE,"PLT","PERIOD5",53359,11543,7.23624
"48",48,12,TRUE,"Pound","PERIOD1",20514,2616,2.64768
"49",49,12,TRUE,"Pound","PERIOD2",59039,12148,2.64768
"50",50,12,TRUE,"Pound","PERIOD3",85977,13108,2.64768
"51",51,12,TRUE,"Pound","PERIOD4",50469,4935,2.64768
"52",52,12,TRUE,"Pound","PERIOD5",50185,6190,2.64768
"53",53,13,TRUE,"Pound","PERIOD1",11678,2105,1.7988
"54",54,13,TRUE,"Pound","PERIOD2",96506,20693,1.7988
"55",55,13,TRUE,"Pound","PERIOD3",89536,15623,1.7988
"56",56,13,TRUE,"Pound","PERIOD4",53078,2140,1.7988
"57",57,13,TRUE,"Pound","PERIOD5",45639,984,1.7988
"58",58,14,TRUE,"Pound","PERIOD1",10874,1744,NA
"59",59,14,TRUE,"Pound","PERIOD2",36070,256,NA
"60",60,15,FALSE,"PLT","PERIOD1",32113,6378,5.29656
"61",61,15,FALSE,"PLT","PERIOD2",32101,8126,5.29656
"62",62,16,FALSE,"PLT","PERIOD1",41189,9021,3.2772
"63",63,16,FALSE,"PLT","PERIOD2",97140,25069,3.2772
"64",64,17,FALSE,"PLT","PERIOD1",46795,14661,2.62536
"65",65,17,FALSE,"PLT","PERIOD2",89671,30698,2.62536
