Animal_ID,Animal_type,Stroke size,Type,live_cells_0,CD19pos_B220pos_0,CD19pos_B220pos_MHCIIpos_0,CD11cpos_0,CD11bpos_0,mMDSCs_0,gMDSCs_0,Live cells_0,CD3pos_0,CD4pos_0,CD8pos_0,live_cells_7,CD19pos_B220pos_7,CD19pos_B220pos_MHCIIpos_7,CD11cpos_7,CD11bpos_7,mMDSCs_7,gMDSCs_7,Live cells_7,CD3pos_7,CD4pos_7,CD8pos_7,live_cells_28,CD19pos_B220pos_28,CD19pos_B220pos_MHCIIpos_28,CD11cpos_28,CD11bpos_28,mMDSCs_28,gMDSCs_28,Live cells_28,CD3pos_28,CD4pos_28,CD8pos_28
Pound f1 3 091622,WT_female,,Number,101484,48380,47262,583,4371,273,2389,69032,30335,15789,12330,,,,,,,,,,,,,,,,,,,,,,
Pound f2 4 092031,Pound_female,,Number,87142,38508,37779,623,2615,348,1344,53849,29551,14997,13121,,,,,,,,,,,,,,,,,,,,,,
Pound f3 5 092505,WT_female,,Number,95598,48155,47219,563,2683,216,1545,69942,33671,17545,13666,,,,,,,,,,,,,,,,,,,,,,
Pound f4 6 092957,Pound_female,,Number,140019,65439,64132,1039,4678,653,2526,104243,46782,21483,22093,,,,,,,,,,,,,,,,,,,,,,
Pound f5 7 093430,WT_female,,Number,141941,63246,61870,755,4294,263,2102,96598,43325,23115,17145,,,,,,,,,,,,,,,,,,,,,,
Pound f6 8 093751,WT_female,,Number,145168,62879,61501,1115,5496,524,2746,147904,65599,33905,25333,,,,,,,,,,,,,,,,,,,,,,
Pound f7,Pound_female,,,,,,,,,,148748,74948,40060,31260,,,,,,,,,,,,,,,,,,,,,,
Pound f8 9 094111,Pound_female,,Number,100946,42868,40932,643,3110,587,1488,126932,56158,27054,24952,,,,,,,,,,,,,,,,,,,,,,
Pound f9 10 094547,Pound_female,,Number,148635,68679,66638,737,4548,460,2398,,,,,,,,,,,,,,,,,,,,,,,,,,
Pound m1 11 094903,WT_male,,Number,153912,73998,69425,712,4896,510,2795,173404,76314,40737,30809,,,,,,,,,,,,,,,,,,,,,,
Pound m2 12 095135,WT_male,,Number,151442,69502,66915,970,4963,506,2074,149375,67296,38228,25011,,,,,,,,,,,,,,,,,,,,,,
Pound m3 13 095442,WT_male,,Number,99164,41968,40664,760,5082,360,2706,59206,29642,16439,11910,,,,,,,,,,,,,,,,,,,,,,
Pound m4 14 095923,Pound_male,,Number,114006,48936,45135,649,3193,491,1576,80260,45460,23553,19990,,,,,,,,,,,,,,,,,,,,,,
Pound m5 15 100352,Pound_male,,Number,71093,34517,33228,813,3232,663,1088,47235,21823,11245,8936,,,,,,,,,,,,,,,,,,,,,,
